food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions,Sugar,Fiber,Sodium,Vitamins,Minerals,Minerals
Bhindi Masala,120,3,15,7,General health,Vegetarian,None,2,4,200,10,1,1
Chapati,100,3,20,1,General health,Whole Grains,Vegetarian,0,2,100,0,0,0
Mutton Rogan Josh,300,20,15,18,Weight loss,Protein-Rich Foods,None,2,3,300,10,2,2
Aloo Paratha,250,5,30,12,General health,Vegetarian,None,1,3,200,10,1,1
Rajma Masala,180,8,25,6,General health,Vegetarian,None,2,7,300,5,2,2
Tandoori Naan,150,5,20,4,General health,Whole Grains,Vegetarian,0,2,150,0,0,0
Chicken Tikka,200,18,3,12,Weight loss,Protein-Rich Foods,None,1,2,250,8,2,2
Methi Paratha,150,4,20,5,General health,Vegetarian,None,1,2,150,0,0,0
Mango Chutney,80,1,20,0.5,General health,Vegetarian,None,15,1,20,5,1,1
Rava Kesari,200,3,40,5,Indulgence,Sweets,None,20,1,10,2,1,1
Guava,68,2.6,14,0.9,General health,Fruits,None,9,5.4,2,228,2,2
Papaya,59,0.5,15,0.4,General health,Fruits,None,8.9,2.3,8,86,2,2
Mango,60,0.8,15,0.4,General health,Fruits,None,14,1.6,1,54,1,1
Banana,105,1.3,27,0.3,General health,Fruits,None,14,2.6,1,105,1,1
Pineapple,50,0.5,13,0.1,General health,Fruits,None,9,1.4,1,47,1,1
Pomegranate,83,1.7,18.7,1.2,General health,Fruits,None,9,4,3,10,1,1
Apple,52,0.3,14,0.2,General health,Fruits,None,10,2.4,0,54,0,0
Orange,43,1,8.3,0.2,General health,Fruits,None,8.2,2.3,0,43,1,1
Kiwi,61,1.1,14.6,0.5,General health,Fruits,None,9,3.1,3,92,1,1
Watermelon,30,0.6,8,0.2,General health,Fruits,None,6,0.4,1,12,1,1
Mango Lassi,150,3,25,4,General health,Beverages,None,15,1,20,5,1,1
Grapes,69,0.6,18,0.2,General health,Fruits,None,16,0.9,2,3,0,0
Sitaphal(Custard Apple),94,2.1,23.6,0.5,General health,Fruits,None,14.9,2.4,7,18,1,1
Jamun,60,0.9,14,0.3,General health,Fruits,None,9.7,0.6,15,18,2,2
Sapota(Chikoo),83,0.9,19,0.5,General health,Fruits,None,16.5,5.3,12,20,2,2
Jackfruit,95,2.5,24,0.3,General health,Fruits,None,19,2.5,2,23,2,2
Papaya Salad,80,1,20,0.5,General health,Fruits,None,8,3,50,15,1,1
Strawberry,32,0.7,7.7,0.3,General health,Fruits,None,4.9,2,1,16,1,1
Kiwi,61,1.1,14.6,0.5,General health,Fruits,None,9,3.1,3,92,1,1
Chikoo Milkshake,120,2,28,1,General health,Beverages,None,15,4,20,2,1,1
Banana Smoothie,120,2,30,1,General health,Beverages,None,20,3,10,5,1,1
Papaya Salad,80,1,20,0.5,General health,Fruits,None,8,3,50,15,1,1
Kokum Sherbet,50,0.5,12,0,General health,Beverages,None,10,1,5,2,0,0
Fig (Anjeer),74,0.8,19,0.3,General health,Fruits,None,16,2.9,1,3,2,2
Dates,282,2.5,75,0.4,General health,Fruits,None,63,8,2,2,2,2
Custard Apple Milkshake,150,2,30,2,General health,Beverages,None,18,4,15,8,1,1
Mango Chaat,100,1,25,0.5,General health,Fruits,None,15,2,10,30,1,1
Pomegranate Raita,90,3,12,4,General health,Vegetarian,None,5,2,30,5,1,1
Mango Sorbet,120,1,30,0,General health,Fruits,None,25,2,5,10,1,1
Lychee,66,0.8,17,0.4,General health,Fruits,None,9,1.3,1,136,1,1
Kesar Pista Milk,150,5,15,7,General health,Beverages,None,10,1,20,6,1,1
Papaya Smoothie,120,2,30,0.5,General health,Fruits,None,20,4,10,10,1,1
Guava Chaat,80,2,20,0.5,General health,Fruits,None,10,4,5,40,2,2
Kokum Panna,60,0.5,15,0,General health,Beverages,None,12,1,5,2,0,0
Dragon Fruit,60,1,13,1,General health,Fruits,None,8,3,2,9,1,1
Kokum Jelly,100,0.5,25,0.2,General health,Fruits,None,15,1,10,5,1,1
Kiwi Salad,70,1.5,15,1,General health,Fruits,None,8,3,5,92,1,1
Mango Lollipop,40,0.5,10,0,General health,Fruits,None,7,1,2,5,0,0
Jamun Juice,50,1,12,0,General health,Beverages,None,10,1,5,18,1,1
Lychee Sarbat,120,1,30,0.5,General health,Fruits,None,25,2,5,10,1,1
Masala Chai,50,1,10,1,General health,Beverages,None,5,1,10,0,0,0
Buttermilk,30,2,4,1,General health,Beverages,None,2,0,20,2,1,1
Thandai,100,2,20,3,General health,Beverages,None,15,2,10,5,1,1
Aam Panna,70,1,18,0.5,General health,Beverages,None,12,2,5,15,1,1
Jaljeera,40,1,10,0.5,General health,Beverages,None,7,1,10,5,1,1
Kokum Sharbat,60,0.5,15,0,General health,Beverages,None,12,1,5,2,0,0
Mango Juice (Packaged),120,1,30,0.5,General health,Beverages,None,25,2,5,10,1,1
Lemonade,30,0.5,8,0,General health,Beverages,None,6,1,2,10,1,1
Iced Tea (Packaged),70,0,18,0,General health,Beverages,None,15,0,5,2,1,1
Coconut Water,46,0.9,8.9,0.2,General health,Beverages,None,6,2.7,5,3,2,2
Rose Sherbet,80,0.5,20,0,General health,Beverages,None,18,1,5,10,1,1
Chaas (Spiced Buttermilk),25,2,3,1,General health,Beverages,None,1,0,15,2,1,1
Kesar Badam Milk,120,5,15,6,General health,Beverages,None,10,1,20,5,2,2
Ginger Tea,30,1,5,1,General health,Beverages,None,3,1,5,0,0,0
Bel (Wood Apple) Sharbat,70,0.5,18,0.3,General health,Beverages,None,15,2,5,15,1,1
Guava Juice (Packaged),100,1,25,0.5,General health,Beverages,None,20,2,5,15,1,1
Sattu Drink,60,5,10,1,General health,Beverages,None,2,3,10,8,2,2
Nimbu Pani,40,0.5,10,0,General health,Beverages,None,8,1,2,10,1,1
Mango Lassi (Packaged),150,2,30,2,General health,Beverages,None,18,2,10,5,1,1
Kokum Solkadhi,50,1,12,0.5,General health,Beverages,None,10,1,5,2,1,1
Aam Ras (Packaged),120,1,30,0.5,General health,Beverages,None,25,2,5,10,1,1
Jaljeera Soda (Packaged),90,0.5,22,0,General health,Beverages,None,15,1,10,5,1,1
Kokum Juice (Packaged),80,0.5,20,0.2,General health,Beverages,None,12,1,5,2,1,1
Masala Lemonade (Packaged),70,0.5,18,0,General health,Beverages,None,15,1,2,10,1,1
Thums Up (Indian Cola),150,0,38,0,General health,Beverages,None,36,0,20,0,0,0
Pepsi (Packaged),140,0,37,0,General health,Beverages,None,36,0,25,0,0,0
Limca (Lemon-Lime Soda),110,0,28,0,General health,Beverages,None,26,0,15,0,0,0
Sprite (Packaged),130,0,34,0,General health,Beverages,None,33,0,20,0,0,0
Frooti (Mango Drink),100,0,25,0,General health,Beverages,None,20,0,15,0,0,0
Maaza (Mango Drink),120,0,30,0,General health,Beverages,None,28,0,18,0,0,0
Rooh Afza Sharbat (Concentrate),70,0,18,0,General health,Beverages,None,15,0,10,2,1,1
Paper Boat Aamras (Packaged),120,1,30,0.5,General health,Beverages,None,25,2,5,10,1,1
Lassi (Packaged),100,2,15,4,General health,Beverages,None,15,1,20,5,2,2
Tzinga Energy Drink,120,0,30,0,General health,Beverages,None,28,0,18,0,0,0
Bovonto (Indian Cola),150,0,38,0,General health,Beverages,None,36,0,20,0,0,0
Appy Fizz (Apple Drink),90,0,22,0,General health,Beverages,None,18,0,10,2,1,1
Limca (Lemon-Lime Soda),110,0,28,0,General health,Beverages,None,26,0,15,0,0,0
Pepsi (Packaged),140,0,37,0,General health,Beverages,None,36,0,25,0,0,0
Mirinda (Orange Drink),120,0,30,0,General health,Beverages,None,28,0,18,0,0,0
Sprite (Packaged),130,0,34,0,General health,Beverages,None,33,0,20,0,0,0
Boroline (Packaged),10,0,2,0,General health,None,None,0,0,0,0,0,0
Rooh Afza Lemonade (Packaged),80,0,20,0,General health,Beverages,None,18,1,5,10,1,1
Rasna (Fruit Drink Mix),60,0,15,0,General health,Beverages,None,12,0,5,2,1,1
Kala Khatta (Packaged),70,0,18,0,General health,Beverages,None,15,0,10,2,1,1
Sosyo (Indian Cola),120,0,30,0,General health,Beverages,None,28,0,18,0,0,0
Coca-Cola (Packaged),140,0,39,0,General health,Beverages,None,39,0,23,0,0,0
Thums Up (Packaged),150,0,38,0,General health,Beverages,None,36,0,20,0,0,0
7UP (Packaged),140,0,36,0,General health,Beverages,None,34,0,15,0,0,0
Mountain Dew (Packaged),170,0,46,0,General health,Beverages,None,45,0,30,0,0,0
Appy Classic (Apple Drink),80,0,20,0,General health,Beverages,None,16,0,5,2,,
Taj Mahal Tea (Packaged),5,0,1,0,General health,Beverages,None,0,0,0,0,0,0
Rooh Afza Lemonade (Packaged),80,0,20,0,General health,Beverages,None,18,1,5,10,1,1
Kissan Mixed Fruit Jam (Packaged),50,0,13,0,General health,Condiments,None,10,0.5,5,0,0,0
Bru Instant Coffee (Packaged),2,0,0,0,General health,Beverages,None,0,0,0,0,0,0
Real Fruit Power (Packaged),60,0,15,0,General health,Beverages,None,12,0,5,2,1,1
Bournvita (Malt Drink Mix),80,2,15,1,General health,Beverages,None,10,2,15,5,2,2
Horlicks (Malt Drink Mix),100,3,15,2,General health,Beverages,None,12,3,10,6,2,2
Paper Boat Aamras (Packaged),120,1,30,0.5,General health,Beverages,None,25,2,5,10,1,1
Thums Up (Packaged),150,0,38,0,General health,Beverages,None,36,0,20,0,0,0
Sprite (Packaged),130,0,34,0,General health,Beverages,None,33,0,20,0,0,0
Pani Puri (Golgappa),10,0.5,2,0,Indulgence,Street Food,None,0,0,5,0,0,0
Bhel Puri,150,3,30,5,Indulgence,Street Food,None,5,2,10,8,1,1
Vada Pav,300,5,45,12,Indulgence,Street Food,None,3,3,20,6,1,1
Samosa,120,2,15,6,Indulgence,Street Food,None,2,1,10,2,1,1
Paneer Tikka,200,10,15,12,Indulgence,Indian,None,5,2,15,10,2,2
Kachori,250,3,20,16,Indulgence,Street Food,None,3,1,10,4,2,2
Chole Bhature,500,10,60,20,Indulgence,Indian,None,5,5,25,8,3,3
Pav Bhaji,350,5,50,15,Indulgence,Street Food,None,8,4,20,10,2,2
Dahi Puri,120,3,20,4,Indulgence,Street Food,None,2,1,5,6,1,1
Aloo Tikki,100,2,15,4,Indulgence,Street Food,None,1,2,5,2,1,1
Dosa with Coconut Chutney,250,5,50,2,Indulgence,South Indian,None,2,5,15,6,2,2
Kathi Roll (Paneer),300,10,25,15,Indulgence,Indian,None,3,2,10,8,2,2
Pav Bhaji Pizza,400,8,45,20,Indulgence,Fusion,None,5,3,20,10,2,2
Chicken Biryani,500,20,60,20,Indulgence,Indian,None,2,4,25,10,2,2
Chole Kulche,350,10,60,5,Indulgence,North Indian,None,2,6,15,8,3,3
Idli Sambhar,200,4,40,1,Indulgence,South Indian,None,1,4,10,6,2,2
Momos with Spicy Sauce,150,5,20,5,Indulgence,Tibetan,None,3,2,15,2,1,1
Jalebi,250,1,60,10,Indulgence,Indian,None,30,1,5,2,1,1
Aloo Chaat,180,3,25,8,Indulgence,Street Food,None,5,3,10,4,1,1
Bread Pakora,200,5,20,12,Indulgence,Indian,None,3,2,15,2,1,1
Veg Hakka Noodles,300,8,45,10,Indulgence,Indo-Chinese,None,2,4,15,2,1,1
Chicken Seekh Kebab,180,15,5,12,Indulgence,Indian,None,1,2,10,6,2,2
Papdi Chaat,200,4,25,10,Indulgence,Street Food,None,5,2,10,4,1,1
Raj Kachori,350,6,40,18,Indulgence,Street Food,None,6,3,15,2,2,2
Kadai Paneer,250,12,15,18,Indulgence,Indian,None,4,2,10,8,2,2
Aloo Paratha,350,8,50,15,Indulgence,North Indian,None,2,5,15,6,2,2
Dabeli,300,5,40,12,Indulgence,Street Food,None,4,3,20,10,1,1
Paneer Pakora,180,10,15,12,Indulgence,Indian,None,2,1,15,2,1,1
Egg Roll,250,12,20,15,Indulgence,Indian,None,2,2,10,6,2,2
Vada Pav,200,4,25,10,Indulgence,Street Food,None,3,2,10,4,1,1
Schezwan Dosa,280,6,40,10,Indulgence,Indo-Chinese,None,3,4,15,6,2,2
Ragda Pattice,350,8,55,12,Indulgence,Street Food,None,5,3,20,8,3,3
Chana Chaat,180,5,30,5,Indulgence,Street Food,None,4,3,10,4,1,1
Mutton Biryani,550,25,60,25,Indulgence,Indian,None,2,4,25,10,2,2
Paneer Tikka Pizza,400,12,35,18,Indulgence,Fusion,None,4,3,20,10,2,2
Bhutte Ka Kees,200,5,30,8,Indulgence,Indian,None,2,3,10,6,2,2
Kalmi Kebab,220,18,10,15,Indulgence,Indian,None,1,2,10,6,2,2
Chole Bhature,450,12,60,20,Indulgence,North Indian,None,4,5,25,8,3,3
Baida Roti,300,15,20,18,Indulgence,Indian,None,2,2,10,6,2,2
Dhokla,120,5,20,2,Indulgence,Gujarati,None,2,2,5,4,1,1
Mutton Roll,300,15,25,15,Indulgence,Indian,None,2,2,15,6,2,2
Bhurji Pav,250,10,15,18,Indulgence,Indian,None,3,2,10,8,2,2
Methi Thepla,200,5,30,8,Indulgence,Gujarati,None,2,3,10,6,2,2
Keema Samosa,180,8,15,10,Indulgence,Indian,None,2,1,10,2,1,1
Fish Curry Rice,400,20,40,15,Indulgence,Seafood,None,2,4,20,10,2,2
Kadai Chicken,300,18,12,20,Indulgence,Indian,None,4,2,10,8,2,2
Mysore Pak,200,5,30,10,Indulgence,Sweets,None,20,2,5,2,1,1
Butter Chicken,450,20,25,30,Indulgence,Indian,None,3,2,20,10,2,2
Palak Chaat,180,5,25,8,Indulgence,Street Food,None,4,2,10,4,1,1
Tandoori Momos,250,12,20,12,Indulgence,Tibetan,None,3,2,15,2,1,1
Chole Samosa Chaat,250,7,40,8,Indulgence,Street Food,None,6,3,15,4,1,1
Achari Paneer Tikka,180,12,10,14,Indulgence,Indian,None,2,2,10,6,2,2
Misal Pav,300,10,45,12,Indulgence,Street Food,None,5,4,20,8,2,2
Chicken Korma,350,15,20,25,Indulgence,Indian,None,3,2,15,8,2,2
Dahi Ke Kebab,200,8,15,12,Indulgence,Indian,None,2,1,10,6,2,2
Bread Upma,220,6,30,8,Indulgence,Indian,None,3,4,10,4,1,1
Pav Bhaji Cones,180,5,25,10,Indulgence,Street Food,None,4,2,10,4,1,1
Rajma Chawal Cutlet,150,6,20,6,Indulgence,North Indian,None,2,3,10,2,1,1
Cheese Burst Pizza,400,15,40,20,Indulgence,Fusion,None,6,3,25,10,2,2
Paneer Chilli Dosa,300,10,25,15,Indulgence,Indo-Chinese,None,4,3,15,6,2,2
Aloo Tikki Burger,300,8,45,12,Indulgence,Street Food,None,5,4,20,8,2,2
Fish Tikka Wrap,250,15,20,15,Indulgence,Seafood,None,3,2,15,6,2,2
Papad Chaat,180,3,20,10,Indulgence,Street Food,None,4,2,10,4,1,1
Mughlai Paratha,350,10,50,15,Indulgence,North Indian,None,2,5,15,6,2,2
Veg Momos,120,5,15,6,Indulgence,Tibetan,None,1,2,10,2,1,1
Chilli Cheese Toast,200,8,20,10,Indulgence,Indian,None,3,2,15,2,1,1
Chicken Kathi Roll,300,15,25,18,Indulgence,Indian,None,2,2,10,6,2,2
Pav Bhaji Fondue,350,8,50,15,Indulgence,Fusion,None,8,4,20,10,2,2
Poha Cutlet,180,5,25,8,Indulgence,Indian,None,3,2,10,4,1,1
Dal Baati Churma,400,15,40,20,Indulgence,Rajasthani,None,2,4,25,10,2,2
Masala Dosa,320,10,40,15,Indulgence,Indo-Chinese,None,6,3,18,8,2,2
Achari Chicken Roll,280,15,20,18,Indulgence,Indian,None,2,2,12,6,2,2
Bhindi Kurkure,180,4,25,8,Indulgence,Indian,None,4,3,10,4,1,1
Chapati Noodles,250,6,30,12,Indulgence,Indo-Chinese,None,3,4,15,6,2,2
Bread Pakora Burger,300,8,40,12,Indulgence,Street Food,None,5,3,20,8,2,2
Kheema Pav,350,18,20,25,Indulgence,Indian,None,3,2,15,8,2,2
Maggi Pakora,200,5,25,10,Indulgence,Street Food,None,3,2,10,2,1,1
Palak Corn Sandwich,180,8,20,8,Indulgence,Indian,None,2,2,10,6,2,2
Vegetarian Momos,150,6,15,8,Indulgence,Tibetan,None,1,2,10,2,1,1
Gulab Jamun Shake,250,5,30,10,Indulgence,Sweets,None,20,2,5,2,1,1
Paneer Frankie,300,12,25,15,Indulgence,Indian,None,3,2,12,6,2,2
Aloo Bonda,180,5,20,10,Indulgence,Indian,None,2,2,10,4,1,1
Chilli Paneer Pizza,400,15,35,20,Indulgence,Fusion,None,5,3,20,10,2,2
Dhokla Sandwich,250,7,30,10,Indulgence,Gujarati,None,3,3,10,6,2,2
Mutton Kebab Roll,350,20,15,25,Indulgence,Indian,None,4,2,15,8,2,2
Rajma Pizza,300,10,40,12,Indulgence,Indian,None,4,3,20,8,3,3
Veg Hakka Noodles Wrap,280,8,35,12,Indulgence,Indo-Chinese,None,2,4,15,6,2,2
Cheese Pav Bhaji,350,10,45,15,Indulgence,Street Food,None,8,4,20,10,2,2
Chicken 65 Burger,320,18,20,20,Indulgence,Indian,None,3,2,15,8,2,2
Peanut Masala Chaat,200,8,15,12,Indulgence,Street Food,None,4,2,10,4,1,1
Chicken Tikka Biryani,500,25,60,20,Indulgence,Indian,None,2,4,25,10,2,2
Mushroom Manchurian Roll,300,10,25,18,Indulgence,Indo-Chinese,None,3,2,10,6,2,2
Gobi 65,250,8,30,12,Indulgence,Indian,None,2,3,15,6,2,2
Samosa Chaat Salad,200,5,25,10,Indulgence,Street Food,None,4,2,10,4,1,1
Kadai Veg Noodles,280,6,40,10,Indulgence,Indo-Chinese,None,2,4,15,2,1,1
Masala Dosa Wrap,350,8,45,15,Indulgence,South Indian,None,3,5,20,8,2,2
Punjabi Chole Burrito,300,10,35,12,Indulgence,North Indian,None,4,3,20,10,2,2
Pav Bhaji Tostada,380,10,50,18,Indulgence,Fusion,None,6,3,25,8,2,2
Aloo Gobi Quesadilla,320,8,35,15,Indulgence,Indian,None,4,2,15,6,2,2
Chicken Keema Naanwich,400,20,30,22,Indulgence,Indian,None,3,2,15,8,2,2
Dahi Puri,180,5,20,10,Indulgence,Street Food,None,3,2,10,4,1,1
Veggie Pizza Dosa,320,10,35,15,Indulgence,South Indian,None,4,3,18,8,2,2
Paneer Tikka Nachos,280,12,20,18,Indulgence,Indian,None,2,2,12,6,2,2
Aloo Tikki Pizza,350,10,45,12,Indulgence,Street Food,None,5,3,20,8,2,2
Chana Chaat Wrap,250,8,30,10,Indulgence,Street Food,None,4,2,15,6,2,2
Pav Bhaji Tacos,300,8,40,15,Indulgence,Street Food,None,6,3,20,10,2,2
Chicken 65 Quesadilla,380,18,30,22,Indulgence,Indian,None,3,2,15,8,2,2
Vada Pav Sliders,320,10,35,15,Indulgence,Street Food,None,4,2,15,6,2,2
Bhel Puri Salad,200,5,25,10,Indulgence,Street Food,None,3,2,10,4,1,1
Masala Maggi Waffles,250,6,30,12,Indulgence,Indian,None,2,4,15,2,1,1
Gulab Jamun,150,2,20,8,Indulgence,Sweets,None,15,1,5,2,1,1
Jalebi,200,1,30,10,Indulgence,Sweets,None,20,1,5,2,1,1
Rasgulla,100,2,25,1,Indulgence,Sweets,None,18,1,5,2,1,1
Kaju Katli,180,4,15,12,Indulgence,Sweets,None,12,2,5,2,1,1
Mysore Pak,250,5,30,15,Indulgence,Sweets,None,25,2,5,2,1,1
Rasmalai,180,5,20,10,Indulgence,Sweets,None,22,1,5,2,1,1
Barfi,120,3,15,8,Indulgence,Sweets,None,14,1,5,2,1,1
Sandesh,100,2,18,5,Indulgence,Sweets,None,12,1,5,2,1,1
Besan Ladoo,160,3,20,8,Indulgence,Sweets,None,16,2,5,2,1,1
Peda,140,2,25,6,Indulgence,Sweets,None,18,1,5,2,1,1
Rabri,180,4,25,10,Indulgence,Sweets,None,15,1,5,2,1,1
Kalaadi,160,8,10,12,Indulgence,Indian,None,10,2,8,4,2,2
Kesar Peda,200,3,30,8,Indulgence,Sweets,None,20,2,5,2,1,1
Coconut Ladoo,150,2,20,8,Indulgence,Sweets,None,18,1,5,2,1,1
Cham Cham,180,2,30,10,Indulgence,Sweets,None,20,1,5,2,1,1
Shrikhand,120,5,15,6,Indulgence,Sweets,None,14,1,5,2,1,1
Balushahi,220,3,25,12,Indulgence,Sweets,None,22,1,5,2,1,1
Kaju Anjeer Roll,250,6,20,15,Indulgence,Sweets,None,18,2,5,2,1,1
Gajar Halwa,200,3,25,10,Indulgence,Sweets,None,15,2,5,2,1,1
Chhena Poda,180,4,20,8,Indulgence,Sweets,None,18,1,5,2,1,1
Modak,120,2,25,5,Indulgence,Sweets,None,15,1,5,2,1,1
Malpua,180,3,30,10,Indulgence,Sweets,None,20,1,5,2,1,1
Petha,150,1,35,5,Indulgence,Sweets,None,18,1,5,2,1,1
Ragi Ladoo,160,4,20,8,Indulgence,Sweets,None,12,2,5,2,1,1
Kaju Roll,200,5,15,12,Indulgence,Sweets,None,18,2,5,2,1,1
Gond Ke Ladoo,220,3,25,10,Indulgence,Sweets,None,22,1,5,2,1,1
Ghevar,250,4,30,15,Indulgence,Sweets,None,20,1,5,2,1,1
Basundi,180,5,20,8,Indulgence,Sweets,None,14,1,5,2,1,1
Puran Poli,200,3,25,10,Indulgence,Sweets,None,15,2,5,2,1,1
Chana Dal Halwa,220,4,30,12,Indulgence,Sweets,None,18,1,5,2,1,1
Kalakand,180,6,20,10,Indulgence,Sweets,None,16,1,5,2,1,1
Mawa Kachori,250,5,30,12,Indulgence,Sweets,None,20,2,5,2,1,1
Raj Bhog,220,3,25,12,Indulgence,Sweets,None,18,1,5,2,1,1
Gulab Jamun Cheesecake,300,8,35,15,Indulgence,Sweets,None,25,2,5,2,1,1
Kaju Malai Peda,200,4,25,10,Indulgence,Sweets,None,18,2,5,2,1,1
Cham Cham Cupcakes,180,3,20,8,Indulgence,Sweets,None,15,1,5,2,1,1
Mysore Pak Ice Cream,250,5,30,12,Indulgence,Sweets,None,22,1,5,2,1,1
Gajar Ki Kheer,150,3,20,6,Indulgence,Sweets,None,14,1,5,2,1,1
Malai Sandwich,200,4,25,8,Indulgence,Sweets,None,18,2,5,2,1,1
Gond Ke Ladoo,220,5,30,10,Indulgence,Sweets,None,20,1,5,2,1,1
